Era 1
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : window, 		Predicted : window, 		Log of likelihood : -58.28
Expected : window, 		Predicted : window, 		Log of likelihood : -100.43
Expected : window, 		Predicted : window, 		Log of likelihood : -57.69
Expected : path, 		Predicted : path, 		Log of likelihood : -76.93
Expected : path, 		Predicted : path, 		Log of likelihood : -55.44
Expected : path, 		Predicted : path, 		Log of likelihood : -55.41
Expected : path, 		Predicted : path, 		Log of likelihood : -56.62
Expected : window, 		Predicted : window, 		Log of likelihood : -59.11
Expected : path, 		Predicted : path, 		Log of likelihood : -85.15
Expected : window, 		Predicted : window, 		Log of likelihood : -58.67
Expected : path, 		Predicted : path, 		Log of likelihood : -56.75
Expected : window, 		Predicted : window, 		Log of likelihood : -59.18
Expected : path, 		Predicted : path, 		Log of likelihood : -57.55
Expected : window, 		Predicted : window, 		Log of likelihood : -57.86
Expected : window, 		Predicted : path, 		Log of likelihood : -85.41
Expected : path, 		Predicted : path, 		Log of likelihood : -54.15
Expected : path, 		Predicted : path, 		Log of likelihood : -75.29
Expected : path, 		Predicted : path, 		Log of likelihood : -57.44
Expected : path, 		Predicted : path, 		Log of likelihood : -55.04
Expected : path, 		Predicted : window, 		Log of likelihood : -62.73
Expected : path, 		Predicted : path, 		Log of likelihood : -56.33
Expected : window, 		Predicted : path, 		Log of likelihood : -67.94
Expected : window, 		Predicted : path, 		Log of likelihood : -83.90
Expected : path, 		Predicted : path, 		Log of likelihood : -53.48
Expected : window, 		Predicted : path, 		Log of likelihood : -56.68
Expected : path, 		Predicted : path, 		Log of likelihood : -56.18
Expected : window, 		Predicted : window, 		Log of likelihood : -57.69
Expected : path, 		Predicted : window, 		Log of likelihood : -63.36
Expected : path, 		Predicted : path, 		Log of likelihood : -58.53
Expected : path, 		Predicted : path, 		Log of likelihood : -61.96
Expected : window, 		Predicted : window, 		Log of likelihood : -57.82
Expected : window, 		Predicted : window, 		Log of likelihood : -60.23
Expected : window, 		Predicted : window, 		Log of likelihood : -59.38
Expected : window, 		Predicted : window, 		Log of likelihood : -66.50
Expected : path, 		Predicted : path, 		Log of likelihood : -57.01
Expected : path, 		Predicted : path, 		Log of likelihood : -53.34
Expected : window, 		Predicted : window, 		Log of likelihood : -58.63
Expected : window, 		Predicted : window, 		Log of likelihood : -58.65
Expected : path, 		Predicted : path, 		Log of likelihood : -53.74
Expected : window, 		Predicted : window, 		Log of likelihood : -57.57
Expected : path, 		Predicted : path, 		Log of likelihood : -55.90
Expected : window, 		Predicted : window, 		Log of likelihood : -60.12
Expected : path, 		Predicted : path, 		Log of likelihood : -58.02
Expected : window, 		Predicted : window, 		Log of likelihood : -61.04
Expected : path, 		Predicted : path, 		Log of likelihood : -56.76
Expected : window, 		Predicted : window, 		Log of likelihood : -60.00
Expected : window, 		Predicted : window, 		Log of likelihood : -60.12
Expected : path, 		Predicted : path, 		Log of likelihood : -63.56
Expected : window, 		Predicted : path, 		Log of likelihood : -69.09
Expected : window, 		Predicted : window, 		Log of likelihood : -59.11
Expected : path, 		Predicted : path, 		Log of likelihood : -65.44
Expected : path, 		Predicted : path, 		Log of likelihood : -55.65
Expected : path, 		Predicted : path, 		Log of likelihood : -53.43
Expected : window, 		Predicted : window, 		Log of likelihood : -58.53
Expected : path, 		Predicted : path, 		Log of likelihood : -55.22
Expected : path, 		Predicted : path, 		Log of likelihood : -54.78
Expected : window, 		Predicted : window, 		Log of likelihood : -59.58
Expected : path, 		Predicted : path, 		Log of likelihood : -57.07
Expected : window, 		Predicted : window, 		Log of likelihood : -59.42
Expected : path, 		Predicted : path, 		Log of likelihood : -55.98
Expected : path, 		Predicted : path, 		Log of likelihood : -57.61
Expected : window, 		Predicted : window, 		Log of likelihood : -59.74
Expected : path, 		Predicted : path, 		Log of likelihood : -57.97
Expected : path, 		Predicted : path, 		Log of likelihood : -55.80
Expected : window, 		Predicted : window, 		Log of likelihood : -59.44
Expected : path, 		Predicted : path, 		Log of likelihood : -58.25
Expected : window, 		Predicted : window, 		Log of likelihood : -57.47
Expected : window, 		Predicted : window, 		Log of likelihood : -59.85
Expected : window, 		Predicted : window, 		Log of likelihood : -59.17
Expected : window, 		Predicted : path, 		Log of likelihood : -57.37
Expected : path, 		Predicted : path, 		Log of likelihood : -57.90
Expected : path, 		Predicted : path, 		Log of likelihood : -53.94
Expected : window, 		Predicted : window, 		Log of likelihood : -57.84
Expected : window, 		Predicted : path, 		Log of likelihood : -58.38
Expected : window, 		Predicted : window, 		Log of likelihood : -72.30
Expected : window, 		Predicted : window, 		Log of likelihood : -61.28
Expected : window, 		Predicted : window, 		Log of likelihood : -72.13
Expected : window, 		Predicted : window, 		Log of likelihood : -59.48
Expected : path, 		Predicted : path, 		Log of likelihood : -56.23
Expected : path, 		Predicted : path, 		Log of likelihood : -58.05
Expected : path, 		Predicted : path, 		Log of likelihood : -60.83
Expected : path, 		Predicted : path, 		Log of likelihood : -56.34
Expected : window, 		Predicted : window, 		Log of likelihood : -61.14
Expected : window, 		Predicted : path, 		Log of likelihood : -54.67
Expected : path, 		Predicted : path, 		Log of likelihood : -53.34
Expected : path, 		Predicted : path, 		Log of likelihood : -58.01
Expected : path, 		Predicted : path, 		Log of likelihood : -53.36
Expected : path, 		Predicted : path, 		Log of likelihood : -57.62
Expected : window, 		Predicted : window, 		Log of likelihood : -60.38
Expected : window, 		Predicted : window, 		Log of likelihood : -58.33
Expected : window, 		Predicted : window, 		Log of likelihood : -59.93
Expected : window, 		Predicted : window, 		Log of likelihood : -74.60
Expected : path, 		Predicted : window, 		Log of likelihood : -75.87
Expected : path, 		Predicted : path, 		Log of likelihood : -56.12
Expected : path, 		Predicted : path, 		Log of likelihood : -55.84
Expected : window, 		Predicted : window, 		Log of likelihood : -68.01
Expected : path, 		Predicted : path, 		Log of likelihood : -58.98
Expected : window, 		Predicted : window, 		Log of likelihood : -62.37
Expected : window, 		Predicted : window, 		Log of likelihood : -61.74
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : window, 		Predicted : window, 		Log of likelihood : -58.28
Expected : window, 		Predicted : window, 		Log of likelihood : -100.43
Expected : window, 		Predicted : window, 		Log of likelihood : -57.69
Expected : path, 		Predicted : path, 		Log of likelihood : -76.93
Expected : path, 		Predicted : path, 		Log of likelihood : -55.44
Expected : path, 		Predicted : path, 		Log of likelihood : -55.41
Expected : path, 		Predicted : path, 		Log of likelihood : -56.62
Expected : window, 		Predicted : window, 		Log of likelihood : -59.11
Expected : path, 		Predicted : path, 		Log of likelihood : -85.15
Expected : window, 		Predicted : window, 		Log of likelihood : -58.67
Expected : path, 		Predicted : path, 		Log of likelihood : -56.75
Expected : window, 		Predicted : window, 		Log of likelihood : -59.18
Expected : path, 		Predicted : path, 		Log of likelihood : -57.55
Expected : window, 		Predicted : window, 		Log of likelihood : -57.86
Expected : window, 		Predicted : path, 		Log of likelihood : -85.41
Expected : path, 		Predicted : path, 		Log of likelihood : -54.15
Expected : path, 		Predicted : path, 		Log of likelihood : -75.29
Expected : path, 		Predicted : path, 		Log of likelihood : -57.44
Expected : path, 		Predicted : path, 		Log of likelihood : -55.04
Expected : path, 		Predicted : window, 		Log of likelihood : -62.73
Expected : path, 		Predicted : path, 		Log of likelihood : -56.33
Expected : window, 		Predicted : path, 		Log of likelihood : -67.94
Expected : window, 		Predicted : path, 		Log of likelihood : -83.90
Expected : path, 		Predicted : path, 		Log of likelihood : -53.48
Expected : window, 		Predicted : path, 		Log of likelihood : -56.68
Expected : path, 		Predicted : path, 		Log of likelihood : -56.18
Expected : window, 		Predicted : window, 		Log of likelihood : -57.69
Expected : path, 		Predicted : window, 		Log of likelihood : -63.36
Expected : path, 		Predicted : path, 		Log of likelihood : -58.53
Expected : path, 		Predicted : path, 		Log of likelihood : -61.96
Expected : window, 		Predicted : window, 		Log of likelihood : -57.82
Expected : window, 		Predicted : window, 		Log of likelihood : -60.23
Expected : window, 		Predicted : window, 		Log of likelihood : -59.38
Expected : window, 		Predicted : window, 		Log of likelihood : -66.50
Expected : path, 		Predicted : path, 		Log of likelihood : -57.01
Expected : path, 		Predicted : path, 		Log of likelihood : -53.34
Expected : window, 		Predicted : window, 		Log of likelihood : -58.63
Expected : window, 		Predicted : window, 		Log of likelihood : -58.65
Expected : path, 		Predicted : path, 		Log of likelihood : -53.74
Expected : window, 		Predicted : window, 		Log of likelihood : -57.57
Expected : path, 		Predicted : path, 		Log of likelihood : -55.90
Expected : window, 		Predicted : window, 		Log of likelihood : -60.12
Expected : path, 		Predicted : path, 		Log of likelihood : -58.02
Expected : window, 		Predicted : window, 		Log of likelihood : -61.04
Expected : path, 		Predicted : path, 		Log of likelihood : -56.76
Expected : window, 		Predicted : window, 		Log of likelihood : -60.00
Expected : window, 		Predicted : window, 		Log of likelihood : -60.12
Expected : path, 		Predicted : path, 		Log of likelihood : -63.56
Expected : window, 		Predicted : path, 		Log of likelihood : -69.09
Expected : window, 		Predicted : window, 		Log of likelihood : -59.11
Expected : path, 		Predicted : path, 		Log of likelihood : -65.44
Expected : path, 		Predicted : path, 		Log of likelihood : -55.65
