@relation kitchenham

@attribute Project string
@attribute Client.code {1,2,3,4,5,6}
@attribute Project.type {A,C,D,P,Pr,U}
@attribute Actual.start.date date "YYYY-MM-DD"
@attribute Actual.duration numeric
@attribute Actual.effort numeric
@attribute Adjusted.function.points numeric
@attribute Estimated.completion.date date "YYYY-MM-DD"
@attribute First.estimate numeric
@attribute First.estimate.method {A,C,CAE,D,EO,W}

@data
1,1,A,1996-12-10,107,101.65,1997-04-15,495,EO,485
2,1,D,1997-06-16,144,57.12,1997-08-19,1365,A,990
3,1,D,1997-03-01,604,1010.88,1998-06-30,8244,EO,13635
4,1,P,1997-06-23,226,45.6,1998-03-06,1595,D,1576
5,1,D,1997-01-20,326,1022.58,1998-01-01,3828,A,3826
6,1,P,1997-12-10,294,77.04,1998-08-07,879,EO,1079
7,1,A,1998-07-06,212,159.6,1999-02-17,2895,EO,2224
8,1,C,1997-12-08,175,225.54,1998-05-22,1800,A,1698
9,1,Pr,1997-05-05,584,144.72,1998-03-17,1160,EO,1173
10,1,D,1997-03-18,171,84.42,1997-07-30,885,EO,1401
11,1,D,1997-06-01,201,126.42,1997-12-04,2125,EO,2170
12,1,D,1997-08-14,195,392.16,1998-01-22,1381,EO,1122
13,1,U,1997-07-21,109,18.9,1997-11-04,1142,D,1024
14,1,P,1997-06-23,263,112.14,1998-04-01,1895,EO,1832
15,1,A,1997-07-10,165,210.08,1998-03-14,1339,EO,1016
16,1,D,1997-03-15,46,260.95,1997-07-23,447,EO,322
17,2,D,1995-12-18,186,609.7,1996-02-12,507,EO,580
18,2,D,1995-06-26,189,169.85,?,952,EO,1003
19,2,P,1995-06-26,95,56,1995-09-29,380,EO,380
20,2,P,1995-09-25,53,30,1995-11-17,220,EO,220
21,2,P,1997-10-07,365,241.86,1998-12-18,2879,EO,2356
22,2,P,1994-12-19,438,219.88,1996-03-01,1483,EO,1388
23,2,P,1996-03-11,109,229.71,1996-06-28,1667,EO,1066
24,2,D,1996-08-05,283,458.38,1997-05-03,2125,A,2860
25,2,P,1998-01-12,137,177.63,1998-06-12,1175,A,1143
26,2,P,1997-05-12,102,287.64,1997-09-05,2213,A,1431
27,2,P,1997-06-09,103,343.54,1997-10-03,2247,A,1868
28,2,P,1997-07-01,192,346.8,1997-10-31,1926,A,2172
29,2,D,1996-08-14,219,1121.48,1996-12-31,5641,EO,8509
30,2,P,1995-02-17,484,761.08,1995-12-01,3928,EO,5927
31,2,P,1996-09-09,173,464,1997-01-15,1995,A,2663
32,2,P,1997-02-10,169,203.01,1997-03-01,2281,EO,1425
33,2,P,1998-01-05,207,550.14,1998-06-06,3305,EO,3504
34,2,P,1996-08-05,61,86.45,1996-10-30,797,EO,652
35,2,P,1996-07-25,311,1362.11,1997-03-08,3922,A,7649
36,2,P,1996-08-12,418,681,1997-05-10,6809,A,5927
37,2,P,1997-05-26,410,485.1,1998-04-22,4955,A,6607
38,2,?,1995-05-08,497,172.96,1996-09-16,1294,EO,2591
39,2,P,1996-08-16,259,2075.8,1997-05-19,5688,EO,4494
40,2,D,1997-01-24,234,756.25,1997-09-30,5245,EO,4824
41,2,?,1995-07-01,462,789.66,1996-08-07,3930,EO,5094
42,2,P,1997-04-21,291,357,1997-10-03,2562,EO,3088
43,2,P,1996-08-06,116,62.08,1996-12-13,1526,C,892
44,2,P,1995-06-26,128,157.56,1995-11-01,1018,EO,750
45,2,D,1997-04-01,185,322.62,1997-10-17,5646,CAE,5646
46,2,P,1994-10-03,207,81.34,1995-06-30,1532,EO,1532
47,2,P,1995-01-02,151,191,1995-06-02,1532,EO,1280
48,2,P,1994-10-24,99,121.52,1995-02-28,314,EO,313
49,2,P,1996-06-17,61,222.78,1996-08-17,412,A,339
50,2,P,1996-10-30,101,113.52,1997-01-24,738,EO,583
51,2,?,1995-07-29,462,15.36,1996-11-15,763,EO,726
52,2,P,1997-11-07,133,320.12,1998-03-09,1750,A,1939
53,2,P,1996-05-23,106,84.28,1996-09-06,682,A,669
54,2,P,1996-12-30,68,248.88,?,1320,EO,1413
55,2,P,1995-11-17,239,616.32,1996-02-29,3573,EO,4115
56,2,P,1996-09-06,330,515.07,1997-06-13,2913,A,4009
57,2,P,1997-01-30,37,88.2,1997-03-21,701,EO,630
58,2,P,1996-07-08,187,115.14,1997-01-27,725,A,718
59,2,P,1996-08-09,329,63.84,1997-02-21,1826,A,1584
60,2,P,1996-10-04,120,1015.98,1997-04-01,5000,EO,5816
61,2,P,1997-02-07,85,359.64,1997-05-16,2640,A,2037
62,2,P,1997-05-16,49,240.84,1997-07-11,2534,A,1428
63,2,P,1997-08-03,152,285.12,1998-01-02,2231,A,1252
64,2,P,1996-03-11,47,61.2,1996-04-27,1000,EO,655
65,2,?,1995-11-03,148,287.28,1996-03-30,1645,D,1318
66,2,D,1996-03-22,141,172,1996-07-13,1067,EO,995
67,2,D,1996-09-09,235,144.06,1997-05-16,2270,EO,2265
68,2,D,1996-09-09,298,108.64,1997-07-11,656,EO,654
69,2,?,1996-02-02,99,165.36,1996-05-11,121,A,718
70,2,P,1996-04-05,127,680.9,1996-06-15,1685,EO,2029
71,2,D,1996-02-01,163,409.4,1996-07-13,2350,EO,1650
72,2,D,1997-07-25,316,313.95,1998-05-02,2308,EO,2223
73,2,D,1996-11-19,388,1136.34,1997-10-03,7850,A,8600
74,2,P,1997-09-01,152,177,1998-02-14,2004,EO,1884
75,2,D,1996-09-23,166,746.24,1996-11-08,3715,W,5359
76,2,P,1996-11-14,114,274.92,1997-03-22,1273,A,1159
77,2,P,1996-07-15,82,43.5,1996-11-09,437,A,437
78,2,D,1997-10-20,123,54.75,1998-03-10,813,EO,570
79,2,P,1995-01-20,49,130,1995-03-18,900,EO,502
80,2,P,1998-02-06,183,525.96,1998-08-21,2475,A,1877
81,2,P,1996-09-12,149,311.85,1996-11-15,799,A,1693
82,2,?,1995-10-15,370,1185.08,1996-03-23,2160,EO,3319
83,2,D,1995-08-26,128,258.24,1996-01-01,1770,EO,1557
84,2,P,1995-10-20,126,60,1996-02-23,760,EO,557
85,2,P,1995-10-10,200,303.52,1996-03-23,2588,A,3050
86,2,D,1996-05-26,76,98.9,1996-08-10,1148,A,1113
87,2,P,1996-08-19,299,711.9,1997-04-19,4064,EO,5456
88,2,D,1996-06-24,131,182.4,1996-11-23,933,EO,763
89,2,?,1997-05-30,140,351.9,1997-09-09,2096,EO,2203
90,2,P,1996-10-18,169,401.98,1997-05-18,3284,EO,3483
91,2,P,1997-04-14,130,162.61,1997-09-05,4576,A,2393
92,2,D,1995-05-22,389,1210.99,1996-02-09,14226,EO,15673
93,2,D,1996-08-26,166,156.42,1997-04-19,6080,EO,2972
94,2,P,1998-04-17,148,603.58,1998-09-06,4046,EO,4068
95,2,P,1998-05-04,131,73.92,1998-09-26,649,EO,698
96,2,P,1997-09-02,144,121.55,1998-02-27,817,EO,676
97,2,?,1995-09-17,369,1234.2,1996-07-13,6340,EO,6307
98,2,P,1995-07-03,155,35,1995-10-27,300,EO,219
99,2,?,1995-11-06,102,61.06,1996-02-26,315,EO,254
100,2,P,1995-04-03,149,162,1995-09-30,750,EO,324
101,2,P,1995-10-01,548,1285.7,1996-09-30,898,EO,874
102,2,D,1994-09-01,946,18137.48,1996-12-20,79870,EO,113930
103,2,D,1996-11-11,186,1020.6,1997-05-16,1600,EO,1722
104,2,D,1995-03-10,212,377,1995-10-08,1702,EO,1660
105,2,P,1995-10-09,84,210.45,1996-01-01,592,EO,693
106,2,D,1995-01-16,250,410,1995-09-29,2158,EO,1455
107,2,D,1995-06-28,86,279,1995-09-22,994,EO,988
108,2,D,1994-12-19,102,240,1995-04-11,1875,EO,1940
109,2,P,1995-10-10,137,230,1996-02-24,2527,EO,2408
